ADM1_PCODE,ADM1_EN,DC_2016,DC_2017,DC_2018,DC_2019,DC_2022,DC_2023,DC_2024,DC_2025,DC_MEAN
PH01,Region I (Ilocos Region),8281,8284,14804,19288,7008,8577,13303,14462,11750.875
PH02,Region II (Cagayan Valley),3891,5327,17926,16450,20256,7976,15694,11856,12422
PH03,Region III (Central Luzon),20989,24935,31759,37143,52461,24176,42203,71228,38111.75
PH04,Region IV-A (Calabarzon),24282,22403,30293,77034,27126,22017,48299,47072,37315.75
PH05,Region V (Bicol Region),7215,4593,6248,24540,12255,13181,16845,7378,11531.875
PH06,Region VI (Western Visayas),2532,3202,3581,11297,2321,1291,1507,2070,3475.125
PH07,Region VII (Central Visayas),26170,4074,8009,44206,9279,5318,25556,14421,17129.125
PH08,Region VIII (Eastern Visayas),5388,11038,19150,24601,16007,8313,32373,10982,15981.5
PH09,Region IX (Zamboanga Peninsula),29395,4251,11086,26157,7092,4839,7301,3188,11663.625
PH10,Region X (Northern Mindanao),17777,6348,21723,28223,12064,16888,24143,12267,17429.125
PH11,Region XI (Davao Region),12137,3552,6447,8369,10323,20810,28429,14053,13015
PH12,Region XII (Soccsksargen),18501,9107,8494,19641,7331,14631,23382,11489,14072
PH13,National Capital Region (NCR),16153,26072,29424,40769,32156,24124,41257,41234,31398.625
PH14,Cordillera Administrative Region (CAR),10043,4011,7639,8892,17444,9795,30730,8327,12110.125
PH16,Region XIII (Caraga),8073,2670,9513,12222,6011,5926,16337,6384,8392
PH17,Mimaropa Region,3999,2735,7717,10641,9677,14956,18064,12970,10094.875
PH19,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),2423,669,3234,6372,6168,7759,11720,5951,5537
